,movieId,viewers,recommand,v_check,wilson_lb
13506,55705,9,2,9,0.22206758602924984
16572,55713,52,22,52,0.42289312495643194
2776,55721,2613,973,2613,0.37218908146795543
11364,55726,448,145,448,0.3234866683032695
6915,55729,514,97,514,0.1885704208601997
6299,55732,75,7,75,0.0932251615642891
17957,55737,1636,1165,1636,0.7119342036469978
36280,55740,1,0,1,0.0
36065,55748,5,2,5,0.3998177488663529
17236,55751,1,0,1,0.0
24225,55757,1,0,1,0.0
898,55765,6226,4075,6226,0.6543363916099468
2481,55768,4425,2686,4425,0.606823921436194
20760,55782,3,0,3,0.0
2873,55805,9,3,9,0.33315797184765045
2328,55814,4271,542,4271,0.12677857558617794
270,55820,8384,2492,8384,0.29706281224856446
22652,55826,9,2,9,0.22206758602924984
2356,55830,390,160,390,0.4100734202291181
11423,55844,30,5,30,0.1665280591343614
11435,55851,4,2,4,0.4998139765888565
13144,55854,52,25,52,0.48058334766217153
14721,55856,12,4,12,0.33315797184765045
3314,55872,615,48,615,0.07794903793670048
19229,55875,22,4,22,0.18167472940053078
30690,55888,2,0,2,0.0
9530,55895,22,4,22,0.18167472940053078
7142,55901,73,27,73,0.3696834196331798
1826,55908,14472,5757,14472,0.39762057135642964
20973,55922,1,0,1,0.0
13786,55926,75,41,75,0.5464814488034065
5980,55946,696,111,696,0.1593465898533925
6228,55955,122,21,122,0.17199074732810116
2071,55995,1180,248,1180,0.2100179490252651
4349,55999,1146,434,1146,0.37852810125314096
8275,56001,5374,3148,5374,0.5856001245417857
5508,56003,165,61,165,0.3695173923185567
20423,56006,10,2,10,0.1998512227909431
25670,56009,5,0,5,0.0
7985,56012,9,1,9,0.11099424189228674
11332,56015,120,63,120,0.52481420580313
16508,56022,12,0,12,0.0
25679,56026,1,0,1,0.0
19803,56028,5,1,5,0.1998512227909431
20695,56030,278,64,278,0.23005924379059106
25715,56051,3,2,3,0.6664912590413711
9477,56060,21,2,21,0.09512893931510784
32442,56067,30,14,30,0.4664810617151259
12472,56069,10,1,10,0.09988844130711626
7891,56079,221,120,221,0.5428010847333694
8931,56093,89,6,89,0.067322502951371
9963,56095,309,225,309,0.7279897807727672
14461,56098,133,40,133,0.30058129219106966
28706,56102,1,0,1,0.0
10638,56141,25,7,25,0.2798329818404685
1673,56145,570,246,570,0.43139468337382053
1608,56152,4216,962,4216,0.22802227324432991
2766,56156,646,87,646,0.1345479652945476
13727,56158,90,54,90,0.5998177211825851
8064,56165,55,5,55,0.09080219157865717
9216,56167,28,3,28,0.10702783936615988
5436,56169,140,25,140,0.1784289817104397
1848,56171,2031,1411,2031,0.6945602969541144
409,56174,7033,1316,7033,0.18697281564924295
3551,56176,87,39,87,0.4480908438636457
2554,56251,195,43,195,0.22035861138310792
17291,56253,10,1,10,0.09988844130711626
6630,56274,36,2,36,0.05547039547805857
4581,56286,495,85,495,0.17157690548094615
18494,56294,3,1,3,0.33315797184765045
33275,56313,1,0,1,0.0
14609,56331,10,1,10,0.09988844130711626
4190,56333,172,49,172,0.28471582400575746
8085,56336,140,66,140,0.471242855932235
2259,56339,27,9,27,0.33315797184765045
13729,56350,9,2,9,0.22206758602924984
256,56367,2090,524,2090,0.2505564829823397
11866,56370,16,4,16,0.2498389336012441
15753,56372,4,3,4,0.7498388643918251
9562,56379,698,213,698,0.30498630214925265
5002,56389,97,41,97,0.42249663733508336
12550,56432,4,0,4,0.0
22745,56449,2,0,2,0.0
23485,56456,2,0,2,0.0
13740,56474,233,28,233,0.12005075082830068
37363,56477,2,1,2,0.4998139765888565
11776,56479,9,3,9,0.33315797184765045
18436,56485,22,9,22,0.4089079988701941
19563,56490,76,13,76,0.17091258103226772
9805,56508,55,30,55,0.5452692860381144
13097,56511,7,1,7,0.14272700301519542
46951,56513,2,2,2,0.9999998615811622
17267,56515,8,1,8,0.1248770089751351
37167,56548,12,2,12,0.1665280591343614
23674,56551,3,1,3,0.33315797184765045
15663,56561,8,0,8,0.0
6007,56563,154,71,154,0.4608535086337133
23940,56570,244,41,244,0.16789372623309518
23896,56574,1489,286,1489,0.19192869977825291
19123,56580,12,5,12,0.41648325664423236
1564,56587,32553,24362,32553,0.7482180836769853
24016,56599,1,0,1,0.0
20733,56602,107,47,107,0.4390676995066555
3468,56607,18,2,18,0.11099424189228674
17227,56612,12,1,12,0.08323056268217739
16354,56614,19,4,19,0.2103746788899789
19156,56616,148,25,148,0.16877956612895162
10754,56620,9,1,9,0.11099424189228674
28719,56624,1,0,1,0.0
15671,56626,30,8,30,0.2665021736660294
18095,56631,5,2,5,0.3998177488663529
8819,56633,187,52,187,0.27790820126764104
19854,56651,1,1,1,0.9999998615811622
9570,56671,17,6,17,0.3527634013738062
16307,56691,31,12,31,0.38691557098787666
16491,56693,27,13,27,0.48129558826549024
12619,56700,853,234,853,0.2741599421878521
37343,56702,22,9,22,0.4089079988701941
3073,56715,4987,2521,4987,0.5053283244159992
10620,56719,11,5,11,0.4543602077125543
37649,56724,4,1,4,0.2498389336012441
11588,56744,214,65,214,0.30356725137070817
20022,56748,5,0,5,0.0
1003,56757,11387,5592,11387,0.49090033389816196
1420,56775,3149,958,3149,0.30405241964750046
18537,56779,4,0,4,0.0
680,56782,957,141,957,0.1472036037372825
14040,56786,443,106,443,0.23911895745350378
2026,56788,8488,4578,8488,0.5391642182353459
18573,56797,106,34,106,0.32058108273224983
2387,56801,6264,914,6264,0.14578186389161246
3685,56805,137,51,137,0.37208294102868666
18622,56835,2,0,2,0.0
13947,56837,13,7,13,0.5382760609082061
9342,56846,8,2,8,0.2498389336012441
10849,56848,422,172,422,0.4074001330024535
13590,56869,5,3,5,0.5998177211825851
47971,56874,1,0,1,0.0
4799,56885,135,23,135,0.17023054206533772
29133,56888,4,3,4,0.7498388643918251
8551,56908,55,30,55,0.5452692860381144
6165,56915,1218,347,1218,0.2847253690333485
3488,56921,48666,33146,48666,0.6809181030113367
15906,56931,1,0,1,0.0
2193,56941,9,0,9,0.0
11200,56945,47,25,47,0.5317292451271498
1667,56949,2651,929,2651,0.3502563135686392
37226,56956,2,1,2,0.4998139765888565
33390,56959,6,2,6,0.33315797184765045
16739,56995,5,2,5,0.3998177488663529
22075,57017,4,1,4,0.2498389336012441
28726,57023,981,285,981,0.29035099656044105
18131,57027,2,2,2,0.9999998615811622
24112,57038,15,5,15,0.33315797184765045
11125,57041,76,12,76,0.15775912018786528
14378,57044,8,3,8,0.3748199009081829
14256,57069,7,0,7,0.0
5615,57147,21,3,21,0.14272700301519542
36539,57171,1,0,1,0.0
19417,57179,13,0,13,0.0
6822,57183,8,2,8,0.2498389336012441
19711,57209,33,8,33,0.24226483756998232
7300,57223,36,4,36,0.11099424189228674
20701,57236,6,5,6,0.8331946335218028
6284,57243,111,41,111,0.36918982498089703
26689,57269,7,2,7,0.28554624175075455
2532,57274,7025,1204,7025,0.17124774089519773
16729,57276,309,176,309,0.569395064970743
20928,57282,1,1,1,0.9999998615811622
23729,57291,1,0,1,0.0
6503,57326,407,267,407,0.6558428993105397
6760,57353,410,248,410,0.6046961491765094
21113,57357,2,0,2,0.0
23107,57359,20,7,20,0.34982256573734005
1062,57368,11095,7195,11095,0.6483126597087846
8116,57370,398,49,398,0.12299338668553061
25573,57378,40,13,40,0.32482576684707615
11448,57393,22,9,22,0.4089079988701941
6807,57401,21,7,21,0.33315797184765045
17015,57418,1,0,1,0.0
9272,57421,25,1,25,0.03992715765485898
21531,57426,177,109,177,0.615638229069278
26699,57430,10,2,10,0.1998512227909431
15227,57432,701,196,701,0.2794336254051839
32627,57439,916,380,916,0.4146638675110505
12709,57453,292,62,292,0.21217665604238478
6639,57464,475,200,475,0.4208689525823573
27582,57468,2,0,2,0.0
17909,57473,51,17,51,0.33315797184765045
13724,57476,106,36,106,0.33944646934641154
20943,57478,130,101,130,0.7767681519560764
20941,57480,6,6,6,0.9999998615811622
36086,57482,4,0,4,0.0
17900,57484,1,0,1,0.0
19219,57499,22,10,22,0.4543602077125543
7338,57502,100,49,100,0.4898140151814433
2675,57504,53,24,53,0.4526450014481373
14108,57509,3,1,3,0.33315797184765045
18592,57513,6,3,6,0.4998139765888565
7391,57520,133,59,133,0.4434241938243665
12106,57522,3,0,3,0.0
5684,57526,4894,3667,4894,0.7491235497437502
2042,57528,7145,3914,7145,0.5476104831381637
17738,57530,831,190,831,0.2284839864404963
4041,57532,24,4,24,0.1665280591343614
5929,57534,531,289,531,0.5440708211154902
7762,57536,11058,2865,11058,0.25892546964397567
7859,57538,73,12,73,0.16424571888276235
10374,57543,328,61,328,0.18583089463989216
13306,57550,5,0,5,0.0
8305,57637,85,9,85,0.10576793351673512
1364,57640,2372,1024,2372,0.43151893365513694
27212,57648,10,2,10,0.1998512227909431
12805,57655,5,1,5,0.1998512227909431
629,57669,40,15,40,0.3748199009081829
16563,57690,1,0,1,0.0
15496,57692,1,0,1,0.0
13771,57695,74,36,74,0.48630053289961833
14067,57706,112,26,112,0.23198581617391226
33489,57709,26,16,26,0.6152035970502518
18215,57754,2,0,2,0.0
10246,57772,108,9,108,0.08323056268217739
25207,57774,4,0,4,0.0
14696,57776,2,1,2,0.4998139765888565
24223,57778,1,0,1,0.0
8848,57792,17,2,17,0.1175272420678634
26527,57805,1,1,1,0.9999998615811622
21818,57811,720,301,720,0.4178720587455911
15003,57843,809,314,809,0.3879522058241091
9186,57845,45,12,45,0.2665021736660294
19648,57848,1,0,1,0.0
12920,57854,1633,270,1633,0.1652017010347295
12230,57865,21,1,21,0.04753987954706845
21522,57868,4,2,4,0.4998139765888565
12712,57873,2125,569,2125,0.26759999782277466
5501,57910,85,44,85,0.5174611488681209
28316,57938,2,0,2,0.0
21127,57940,2,1,2,0.4998139765888565
18902,57942,1,0,1,0.0
14454,57946,570,281,570,0.4927964520232563
11340,57949,2,0,2,0.0
4177,57951,108,64,108,0.5924097738920332
20431,57960,7,2,7,0.28554624175075455
14475,57964,13,6,13,0.4613529946327322
17162,57970,2,1,2,0.4998139765888565
9818,57972,205,86,205,0.41932860889726936
9406,57980,65,28,65,0.4305850087532131
16149,57991,1,0,1,0.0
23494,57996,306,136,306,0.4442595805818986
19932,58003,107,72,107,0.6727226246432108
16070,58007,5,4,5,0.7998511397396404
1470,58025,483,260,483,0.5381167953395117
14202,58029,3,1,3,0.33315797184765045
49544,58033,1,0,1,0.0
2275,58047,7740,4803,7740,0.6203620825198621
16434,58059,17,2,17,0.1175272420678634
30480,58061,3,0,3,0.0
6912,58078,903,606,903,0.6709215286896658
36673,58081,1,1,1,0.9999998615811622
15264,58084,25,8,25,0.3198264739437316
20612,58094,118,32,118,0.2710210707087148
2847,58103,1736,1196,1736,0.6887678353976154
3481,58105,651,262,651,0.40227532155822654
4345,58107,328,173,328,0.5272532775062745
10090,58111,87,60,87,0.6894830243698503
39156,58120,19,4,19,0.2103746788899789
13767,58123,23,4,23,0.17377206995538766
29879,58130,5,1,5,0.1998512227909431
29773,58136,6,0,6,0.0
10614,58146,34,16,34,0.47040253807277443
3501,58154,3232,1135,3232,0.35099817117509974
3838,58156,1213,441,1213,0.3633824732417361
3735,58162,8898,1142,8898,0.12821906021671278
30325,58174,1,0,1,0.0
36688,58180,2,1,2,0.4998139765888565
14921,58185,28,12,28,0.4283873230299386
6889,58191,1282,258,1282,0.20109892541971097
22074,58207,3,1,3,0.33315797184765045
10057,58223,6,2,6,0.33315797184765045
25421,58228,22,3,22,0.1362360097828179
9017,58246,161,33,161,0.20481879746969103
22741,58250,5,1,5,0.1998512227909431
36596,58269,1,0,1,0.0
23899,58274,1,0,1,0.0
36618,58282,7,2,7,0.28554624175075455
11298,58287,25,6,25,0.2398411410634232
8699,58291,121,61,121,0.5039462137747688
2053,58293,3434,885,3434,0.25755425685527433
1933,58295,917,167,917,0.18197205065945263
4422,58297,295,21,295,0.07109083337733234
2472,58299,49,3,49,0.06113535539649332
4096,58301,263,107,263,0.40666135309197515
3353,58303,3229,1182,3229,0.36587839707966846
4740,58306,1312,740,1312,0.5638398893390943
14917,58309,3,1,3,0.33315797184765045
4606,58315,5114,1770,5114,0.34593174923246783
12759,58324,30,9,30,0.2998295344090003
5849,58332,234,108,234,0.4613529946327322
8413,58334,47,24,47,0.5104523150992136
3751,58347,397,110,397,0.27691160493832123
6282,58351,243,93,243,0.3825352323071481
14104,58365,27,16,27,0.5924097738920332
13455,58367,308,119,308,0.3861824967000877
23916,58373,4,1,4,0.2498389336012441
4513,58376,88,29,88,0.32937059822354225
12029,58379,236,12,236,0.05076578624980184
12645,58381,17,4,17,0.23513633853077678
8583,58404,21,5,21,0.2379368130130828
27094,58409,4,1,4,0.2498389336012441
19671,58411,1,0,1,0.0
9360,58418,969,206,969,0.21243811976192414
15428,58422,5,3,5,0.5998177211825851
6959,58425,623,398,623,0.6386655752234767
8197,58432,1594,613,1594,0.3843861445994957
16461,58434,18,7,18,0.38870753217832943
23605,58437,6,2,6,0.33315797184765045
12993,58439,345,241,345,0.6983799695679986
23630,58452,9039,5269,9039,0.5827350053738618
9933,58485,26,9,26,0.3459768687924674
4956,58490,1066,579,1066,0.542966634677413
8159,58492,17,2,17,0.1175272420678634
10014,58494,30,11,30,0.36648739783770795
50981,58498,6,5,6,0.8331946335218028
23826,58509,8,1,8,0.1248770089751351
14604,58520,4,2,4,0.4998139765888565
27011,58530,2,0,2,0.0
31159,58534,6,2,6,0.33315797184765045
8582,58554,42,28,42,0.6664912590413711
41,58559,2620,717,2620,0.2734982806237289
36661,58564,5,4,5,0.7998511397396404
13096,58576,15,5,15,0.33315797184765045
23874,58578,12,2,12,0.1665280591343614
16043,58595,3,0,3,0.0
27003,58598,3,0,3,0.0
18680,58610,1821,1363,1821,0.7483283822672386
21479,58617,4,2,4,0.4998139765888565
9064,58622,63,35,63,0.5553706763131389
5707,58627,2,0,2,0.0
17952,58632,5,1,5,0.1998512227909431
37013,58641,1,1,1,0.9999998615811622
15123,58649,2159,570,2159,0.26384714873621884
9271,58652,17,6,17,0.3527634013738062
5386,58655,234,22,234,0.0939085674041207
42914,58661,4,1,4,0.2498389336012441
9702,58706,137,77,137,0.5618592013461174
12514,58709,2127,759,2127,0.35666240497394314
17330,58718,15,6,15,0.3998177488663529
18652,58722,383,145,383,0.3784096391424913
16661,58740,6,1,6,0.1665280591343614
11472,58743,283,59,283,0.2083294720646582
21762,58760,7,3,7,0.4283873230299386
30150,58770,1,0,1,0.0
21451,58774,1,0,1,0.0
10267,58783,9,5,9,0.5553706763131389
42213,58785,5,2,5,0.3998177488663529
1349,58803,19077,7890,19077,0.41340382974586126
5973,58806,20,4,20,0.1998512227909431
13720,58808,12,6,12,0.4998139765888565
29766,58810,2,0,2,0.0
19608,58812,3,0,3,0.0
17581,58816,5470,3102,5470,0.5669088855107152
19598,58826,1,1,1,0.9999998615811622
6178,58839,46,13,46,0.282441205065656
17672,58842,16,5,16,0.3123275776340434
25338,58847,1,1,1,0.9999998615811622
12973,58850,21,8,21,0.38077172371512824
13895,58870,44,11,44,0.2498389336012441
12630,58874,17,1,17,0.058736050028825884
8195,58876,37,7,37,0.18904351678142342
8186,58879,461,93,461,0.20158609842380684
16092,58881,12,0,12,0.0
14002,58889,7,1,7,0.14272700301519542
19475,58895,3,1,3,0.33315797184765045
13875,58898,4,2,4,0.4998139765888565
20122,58904,1,0,1,0.0
21296,58920,1,1,1,0.9999998615811622
21911,58922,1751,461,1751,0.2631143056525293
15271,58933,23,7,23,0.3041766630158318
11390,58937,555,168,555,0.3025318014085192
18114,58939,16,4,16,0.2498389336012441
27741,58941,2,0,2,0.0
18919,58945,9,1,9,0.11099424189228674
7057,58964,79,18,79,0.22769208609168923
6703,58972,470,77,470,0.16369213139976818
5268,58975,2449,907,2449,0.3701756036397521
10838,58992,7,1,7,0.14272700301519542
28311,58994,2,1,2,0.4998139765888565
1015,58998,1628,830,1628,0.5096420209958711
10602,59000,24,2,24,0.08323056268217739
4831,59014,72,29,72,0.4025953183533368
4651,59016,78,12,78,0.15371196680730442
3652,59018,2171,1390,2171,0.6400793717756814
2469,59022,1539,722,1539,0.4689501380797013
5814,59026,86,66,86,0.7672846474845694
22793,59031,5,3,5,0.5998177211825851
4251,59037,1062,508,1062,0.4781569037012581
11103,59040,31,10,31,0.3224067513090606
22538,59044,19,9,19,0.4734984485865672
15811,59053,31,18,31,0.5804615623200631
10923,59065,44,29,44,0.6589145313478814
36305,59074,3,1,3,0.33315797184765045
3590,59103,337,208,337,0.617029826383069
10350,59105,12,4,12,0.33315797184765045
9606,59107,28,18,28,0.6426788540850452
20866,59112,11,6,11,0.5452692860381144
23268,59114,2,1,2,0.4998139765888565
19238,59116,2,0,2,0.0
4525,59118,439,79,439,0.17981156460498846
3170,59126,10884,5626,10884,0.5167196300396476
10520,59129,1346,769,1346,0.5711383058538679
16216,59131,26,10,26,0.38443439822382985
32714,59136,2,0,2,0.0
18994,59138,21,3,21,0.14272700301519542
4890,59141,201,6,201,0.02978749808231302
6159,59143,112,33,112,0.2944732760975831
19225,59154,26,7,26,0.26906577604486454
19227,59157,33,7,33,0.21196915541715147
15884,59159,8,1,8,0.1248770089751351
13553,59173,126,35,126,0.2776111675693633
18295,59178,8,1,8,0.1248770089751351
17554,59180,20,9,20,0.44981491596371714
19275,59182,123,47,123,0.3819330583579612
19033,59184,10,4,10,0.3998177488663529
10940,59188,473,319,473,0.674244242466025
18989,59216,26,8,26,0.3075206203912732
6861,59220,28,10,28,0.35696460791899887
7028,59256,2632,1680,2632,0.6381190872346604
3773,59258,1046,411,1046,0.3927437371813608
12374,59260,12,4,12,0.33315797184765045
11346,59273,40,14,40,0.34982256573734005
14647,59290,146,41,146,0.2806547500501141
8901,59295,73,22,73,0.30119917570789934
23168,59302,57,10,57,0.1752971364462882
7187,59306,12,1,12,0.08323056268217739
17037,59313,20,7,20,0.34982256573734005
144,59315,626,160,626,0.25542880394896006
37360,59327,2,0,2,0.0
4113,59333,230,73,230,0.31721815628785804
6194,59336,27,10,27,0.3701907254579385
10064,59339,839,325,839,0.38718468537612116
11046,59362,12,0,12,0.0
28585,59366,1,1,1,0.9999998615811622
572,59369,679,160,679,0.23548278846629123
16647,59376,6,0,6,0.0
11613,59382,1256,580,1256,0.46159796554147897
2126,59387,191,72,191,0.3767830643965114
5217,59392,3864,554,3864,0.14324440503584693
28768,59397,1,0,1,0.0
12592,59399,198,53,198,0.2675120767928753
8268,59404,915,533,915,0.5823301769370488
7068,59418,217,81,217,0.37309195777931614
2911,59421,855,403,855,0.47115931553660134
30195,59426,29,7,29,0.24122013994410219
5411,59429,6432,1372,6432,0.21315609075355363
14550,59435,3,1,3,0.33315797184765045
8766,59440,32,7,32,0.2185962352741458
24022,59447,592,72,592,0.12150007111845519
26445,59463,1,0,1,0.0
33533,59465,10,2,10,0.1998512227909431
24063,59478,5,2,5,0.3998177488663529
13865,59485,7,2,7,0.28554624175075455
1740,59501,26,13,26,0.4998139765888565
9121,59519,81,47,81,0.5800632905115785
16955,59527,761,133,761,0.17462879210320933
12995,59547,16,4,16,0.2498389336012441
8039,59549,62,3,62,0.04830732440602093
31910,59561,5,2,5,0.3998177488663529
7980,59590,59,25,59,0.4235449777499994
6878,59594,624,254,624,0.406868514050883
15038,59602,19,5,19,0.26299409767265186
7108,59604,153,65,153,0.42465270220270046
10260,59607,35,8,35,0.2284152390163052
852,59615,99,34,99,0.34325769684056395
13347,59621,43,2,43,0.04643334118188059
19303,59625,11,2,11,0.18167472940053078
23480,59641,10,4,10,0.3998177488663529
25379,59649,152,69,152,0.4537621421185442
33583,59651,157,50,157,0.3182980322653288
19631,59655,7,0,7,0.0
20615,59665,4,0,4,0.0
30105,59667,3,1,3,0.33315797184765045
19636,59669,509,157,509,0.3082761328586174
17777,59680,7,3,7,0.4283873230299386
9657,59684,99,58,99,0.5856753137003913
16862,59705,5,2,5,0.3998177488663529
7022,59709,59,1,59,0.01690119522046354
7972,59715,60,18,60,0.2998295344090003
10408,59721,10,5,10,0.4998139765888565
2476,59725,1729,690,1729,0.3988924292118181
4125,59727,954,541,954,0.5669016031914809
10618,59729,1166,548,1166,0.46979716361282575
5635,59731,87,21,87,0.24122013994410219
7714,59738,63,23,63,0.36490026091504385
15178,59753,15,3,15,0.1998512227909431
33978,59775,116,42,116,0.36189017942058754
570,59784,3133,875,3133,0.27911814286010045
14983,59795,295,158,295,0.5354076639373332
33722,59799,21,8,21,0.38077172371512824
22306,59801,108,33,108,0.3053842019523871
26707,59805,8,0,8,0.0
6428,59810,12393,3057,12393,0.24651116351019
11740,59814,4,0,4,0.0
15637,59816,4,2,4,0.4998139765888565
11413,59832,4,0,4,0.0
12312,59834,16,8,16,0.4998139765888565
25386,59836,12,3,12,0.2498389336012441
17303,59838,10,4,10,0.3998177488663529
24647,59840,12,3,12,0.2498389336012441
20253,59842,47,19,47,0.4040727514112728
21941,59844,12,0,12,0.0
14317,59846,8,1,8,0.1248770089751351
21045,59850,16,2,16,0.1248770089751351
28983,59852,1,0,1,0.0
21933,59854,5,0,5,0.0
29006,59858,2,1,2,0.4998139765888565
33761,59861,1,1,1,0.9999998615811622
33699,59865,1,0,1,0.0
28900,59867,1,0,1,0.0
11434,59869,23,4,23,0.17377206995538766
42891,59888,6,2,6,0.33315797184765045
17369,59893,4,0,4,0.0
22029,59895,3,0,3,0.0
2147,59900,7955,4513,7955,0.5671318142601363
26477,59905,1,0,1,0.0
8319,59908,67,16,67,0.23864738267223728
11868,59910,26,7,26,0.26906577604486454
12481,59912,306,118,306,0.3854398401834606
9450,59915,7,1,7,0.14272700301519542
28167,59922,7,4,7,0.5712444461129617
12290,59935,23,9,23,0.391122788296098
15917,59938,2,0,2,0.0
18466,59942,19,5,19,0.26299409767265186
14766,59945,11,4,11,0.36345741098923845
17914,59947,22,8,22,0.36345741098923845
28087,59954,6,5,6,0.8331946335218028
15926,59960,15,3,15,0.1998512227909431
29376,59974,9,0,9,0.0
12456,59976,63,8,63,0.12686030368542575
6124,59985,380,101,380,0.2656251534197206
22201,59988,75,41,75,0.5464814488034065
4861,59995,737,435,737,0.5900476830737833
8813,60007,43,7,43,0.16265339410523397
15744,60014,16,4,16,0.2498389336012441
9808,60020,15,11,15,0.7331687757372383
14336,60030,17,8,17,0.47040253807277443
13829,60032,51,28,51,0.5488344738047065
2500,60037,25,5,25,0.1998512227909431
1200,60040,2417,1609,2417,0.6655257485184107
11851,60044,19,9,19,0.4734984485865672
11179,60046,18,7,18,0.38870753217832943
26442,60059,4,1,4,0.2498389336012441
126,60069,80,37,80,0.46231450570814797
1261,60072,3231,2250,3231,0.6962077279557702
921,60074,1854,1030,1854,0.5553706763131389
20214,60086,26,15,26,0.5767392575073799
14261,60096,487,232,487,0.47620022439471416
12792,60103,16,6,16,0.3748199009081829
21203,60106,2,0,2,0.0
17304,60110,9,4,9,0.4442595805818986
22821,60124,32,2,32,0.06241000234121049
1788,60126,79,36,79,0.4555109169552667
8212,60128,29,9,29,0.31017273204596124
13014,60133,84,9,84,0.10702783936615988
13732,60135,338,201,338,0.5944918848918531
11696,60137,234,124,234,0.5297288355980041
7481,60141,132,52,132,0.3937576184756045
23487,60145,1,0,1,0.0
14465,60147,88,25,88,0.28392315317279615
19736,60150,165,87,165,0.5270869770216658
3004,60161,1193,907,1193,0.7601093611940443
16286,60179,6,0,6,0.0
24552,60183,37,24,37,0.648471015716791
16916,60189,192,26,192,0.13528941457605462
21112,60193,3,1,3,0.33315797184765045
14650,60198,54,10,54,0.1850407080144912
10303,60201,169,103,169,0.6092859300845417
16362,60213,15,7,15,0.4664810617151259
26582,60223,23,9,23,0.391122788296098
25071,60225,1,0,1,0.0
21126,60227,1,0,1,0.0
29514,60229,1,0,1,0.0
29478,60231,1,0,1,0.0
29701,60237,77,33,77,0.4283873230299386
43315,60240,2,1,2,0.4998139765888565
20413,60243,9,2,9,0.22206758602924984
21090,60256,2,1,2,0.4998139765888565
10855,60259,17,8,17,0.47040253807277443
23495,60284,39,14,39,0.3587959077578923
15923,60286,7,4,7,0.5712444461129617
9974,60289,10,1,10,0.09988844130711626
5950,60291,23,4,23,0.17377206995538766
5379,60293,768,563,768,0.7329083080210564
10025,60295,6,3,6,0.4998139765888565
28338,60299,1,0,1,0.0
12211,60303,1903,443,1903,0.2326331374276827
24496,60309,31,10,31,0.3224067513090606
13746,60311,4,1,4,0.2498389336012441
19294,60314,6257,2375,6257,0.3793943454992052
21091,60316,1,0,1,0.0
13496,60322,89,38,89,0.4267822740010132
5092,60333,346,201,346,0.5807412735190634
12418,60336,17,4,17,0.23513633853077678
12124,60338,17,0,17,0.0
9791,60341,67,36,67,0.5371279229808581
21171,60343,19,2,19,0.10514903425102648
17502,60353,26,5,26,0.19216110621997215
27283,60356,3,0,3,0.0
7578,60363,549,357,549,0.6500957802176988
8145,60365,53,19,53,0.35831216790271786
20268,60376,7,1,7,0.14272700301519542
8073,60382,27,8,27,0.29612643925771487
13765,60384,17,3,17,0.1763288013059125
12467,60389,39,9,39,0.2306125153875537
18085,60391,1,0,1,0.0
18970,60393,1,0,1,0.0
2050,60397,5172,1857,5172,0.3588702645396654
12554,60405,52,13,52,0.2498389336012441
6097,60408,150,92,150,0.6131521359782903
14371,60411,8,6,8,0.7498388643918251
9950,60418,1291,378,1291,0.29262701231144267
21630,60421,5,1,5,0.1998512227909431
17995,60436,4,0,4,0.0
17408,60450,33,5,33,0.15138180224731634
13642,60461,9,5,9,0.5553706763131389
12918,60463,7,1,7,0.14272700301519542
15475,60469,11,3,11,0.2725616087512901
8628,60471,6,1,6,0.1665280591343614
19600,60475,1,1,1,0.9999998615811622
14341,60479,25,3,25,0.11987915168081328
9423,60482,21,6,21,0.28554624175075455
18055,60484,3,0,3,0.0
4047,60487,91,32,91,0.3514707254581815
42440,60490,1,0,1,0.0
27379,60494,7,1,7,0.14272700301519542
9009,60503,357,194,357,0.5432320401862925
22532,60508,28,12,28,0.4283873230299386
3181,60514,5085,2617,5085,0.5144649885577924
5878,60516,17,1,17,0.058736050028825884
9325,60522,548,293,548,0.5344859524183873
15319,60524,6,2,6,0.33315797184765045
12492,60526,5,2,5,0.3998177488663529
9807,60530,557,333,557,0.5976631611382363
9741,60538,14,4,14,0.28554624175075455
20084,60544,2563,1917,2563,0.7477900462736348
16591,60546,13,4,13,0.3075206203912732
12375,60551,6,3,6,0.4998139765888565
10558,60566,52,11,52,0.21138655782153293
19687,60568,118,53,118,0.44896749041343265
11835,60579,8,2,8,0.2498389336012441
18111,60585,122,51,122,0.4178492914859673
17144,60590,210,113,210,0.5379097501286746
14114,60599,22,15,22,0.6816448682188108
6239,60609,590,242,590,0.40998650741315634
35267,60616,2,2,2,0.9999998615811622
18159,60618,6,2,6,0.33315797184765045
15576,60625,198,116,198,0.5856753137003913
16359,60641,24,12,24,0.4998139765888565
5087,60647,72,14,72,0.1942972408646083
8860,60649,215,37,215,0.1719526353688462
13334,60654,23,1,23,0.04340245210930038
18882,60666,1,0,1,0.0
5091,60674,57,12,57,0.2103746788899789
536,60684,5337,821,5337,0.1536975587863122
17494,60686,5,0,5,0.0
16597,60688,12,5,12,0.41648325664423236
16026,60702,2391,1684,2391,0.7041380079260979
16045,60707,14,4,14,0.28554624175075455
22649,60728,8,0,8,0.0
9287,60735,11,3,11,0.2725616087512901
14340,60737,15,3,15,0.1998512227909431
21578,60743,13,4,13,0.3075206203912732
13927,60745,2579,823,2579,0.31894253775216824
4481,60753,80,24,80,0.2998295344090003
1619,60756,19257,7789,19257,0.4042937105457342
8303,60758,92,21,92,0.2281047547995486
3632,60760,63,6,63,0.09512893931510784
9060,60763,99,29,99,0.2927600007456391
2559,60766,3923,352,3923,0.08962097884157674
21142,60768,4,3,4,0.7498388643918251
11552,60803,352,44,352,0.1248770089751351
7736,60806,264,155,264,0.5869380222903049
